year_month,count,date,twitter_data,office_type
2019-06,28659,2019-06-01,All Accounts,House
2019-07,23744,2019-07-01,All Accounts,House
2019-08,18527,2019-08-01,All Accounts,House
2019-09,29016,2019-09-01,All Accounts,House
2019-10,35557,2019-10-01,All Accounts,House
2019-11,37667,2019-11-01,All Accounts,House
2019-12,24053,2019-12-01,All Accounts,House
2020-01,34006,2020-01-01,All Accounts,House
2020-02,38429,2020-02-01,All Accounts,House
2020-03,58702,2020-03-01,All Accounts,House
2020-04,41531,2020-04-01,All Accounts,House
2020-05,32206,2020-05-01,All Accounts,House
2020-06,25599,2020-06-01,All Accounts,House
2020-07,26875,2020-07-01,All Accounts,House
2020-08,30051,2020-08-01,All Accounts,House
2020-09,31374,2020-09-01,All Accounts,House
2020-10,35813,2020-10-01,All Accounts,House
2020-11,23084,2020-11-01,All Accounts,House
