year_month,total_tweets,date,twitter_data,office_type
2011-07,383,2011-07-01,combined,senate
2011-08,266,2011-08-01,combined,senate
2011-09,309,2011-09-01,combined,senate
2011-10,365,2011-10-01,combined,senate
2011-11,449,2011-11-01,combined,senate
2011-12,469,2011-12-01,combined,senate
2012-01,453,2012-01-01,combined,senate
2012-02,392,2012-02-01,combined,senate
2012-03,589,2012-03-01,combined,senate
2012-04,339,2012-04-01,combined,senate
2012-05,472,2012-05-01,combined,senate
2012-06,488,2012-06-01,combined,senate
2012-07,527,2012-07-01,combined,senate
2012-08,512,2012-08-01,combined,senate
2012-09,573,2012-09-01,combined,senate
2012-10,988,2012-10-01,combined,senate
2012-11,680,2012-11-01,combined,senate
2012-12,397,2012-12-01,combined,senate
2013-01,587,2013-01-01,combined,senate
2013-02,528,2013-02-01,combined,senate
2013-03,932,2013-03-01,combined,senate
2013-04,832,2013-04-01,combined,senate
2013-05,1033,2013-05-01,combined,senate
2013-06,1105,2013-06-01,combined,senate
2013-07,1160,2013-07-01,combined,senate
2013-08,788,2013-08-01,combined,senate
2013-09,919,2013-09-01,combined,senate
2013-10,878,2013-10-01,combined,senate
2013-11,996,2013-11-01,combined,senate
2013-12,601,2013-12-01,combined,senate
2014-01,1106,2014-01-01,combined,senate
2014-02,1378,2014-02-01,combined,senate
2014-03,1568,2014-03-01,combined,senate
2014-04,1222,2014-04-01,combined,senate
2014-05,1429,2014-05-01,combined,senate
2014-06,1095,2014-06-01,combined,senate
2014-07,1042,2014-07-01,combined,senate
2014-08,935,2014-08-01,combined,senate
2014-09,1129,2014-09-01,combined,senate
2014-10,990,2014-10-01,combined,senate
2014-11,866,2014-11-01,combined,senate
2014-12,695,2014-12-01,combined,senate
2015-01,1548,2015-01-01,combined,senate
2015-02,1616,2015-02-01,combined,senate
2015-03,2184,2015-03-01,combined,senate
2015-04,1869,2015-04-01,combined,senate
2015-05,1902,2015-05-01,combined,senate
2015-06,2197,2015-06-01,combined,senate
2015-07,2705,2015-07-01,combined,senate
2015-08,2001,2015-08-01,combined,senate
2015-09,2829,2015-09-01,combined,senate
2015-10,3368,2015-10-01,combined,senate
2015-11,2798,2015-11-01,combined,senate
2015-12,2956,2015-12-01,combined,senate
2016-01,4039,2016-01-01,combined,senate
2016-02,3679,2016-02-01,combined,senate
2016-03,4574,2016-03-01,combined,senate
2016-04,4009,2016-04-01,combined,senate
2016-05,3752,2016-05-01,combined,senate
2016-06,4127,2016-06-01,combined,senate
2016-07,3820,2016-07-01,combined,senate
2016-08,4098,2016-08-01,combined,senate
2016-09,4838,2016-09-01,combined,senate
2016-10,6746,2016-10-01,combined,senate
2016-11,3556,2016-11-01,combined,senate
2012-12,289,2012-12-01,combined,senate
2013-01,394,2013-01-01,combined,senate
2013-02,369,2013-02-01,combined,senate
2013-03,579,2013-03-01,combined,senate
2013-04,531,2013-04-01,combined,senate
2013-05,602,2013-05-01,combined,senate
2013-06,638,2013-06-01,combined,senate
2013-07,652,2013-07-01,combined,senate
2013-08,430,2013-08-01,combined,senate
2013-09,541,2013-09-01,combined,senate
2013-10,484,2013-10-01,combined,senate
2013-11,743,2013-11-01,combined,senate
2013-12,593,2013-12-01,combined,senate
2014-01,953,2014-01-01,combined,senate
2014-02,926,2014-02-01,combined,senate
2014-03,1496,2014-03-01,combined,senate
2014-04,1307,2014-04-01,combined,senate
2014-05,1338,2014-05-01,combined,senate
2014-06,1233,2014-06-01,combined,senate
2014-07,1396,2014-07-01,combined,senate
2014-08,1059,2014-08-01,combined,senate
2014-09,1486,2014-09-01,combined,senate
2014-10,1647,2014-10-01,combined,senate
2014-11,1075,2014-11-01,combined,senate
2014-12,941,2014-12-01,combined,senate
2015-01,1344,2015-01-01,combined,senate
2015-02,1343,2015-02-01,combined,senate
2015-03,1889,2015-03-01,combined,senate
2015-04,1830,2015-04-01,combined,senate
2015-05,1654,2015-05-01,combined,senate
2015-06,1988,2015-06-01,combined,senate
2015-07,2311,2015-07-01,combined,senate
2015-08,1480,2015-08-01,combined,senate
2015-09,1976,2015-09-01,combined,senate
2015-10,2541,2015-10-01,combined,senate
2015-11,2244,2015-11-01,combined,senate
2015-12,2225,2015-12-01,combined,senate
2016-01,2247,2016-01-01,combined,senate
2016-02,2616,2016-02-01,combined,senate
2016-03,3076,2016-03-01,combined,senate
2016-04,2895,2016-04-01,combined,senate
2016-05,2871,2016-05-01,combined,senate
