year_month,count,date,twitter_data,office_type
2019-02,30,2019-02-01,Combined Accounts,Senate
2019-03,32,2019-03-01,Combined Accounts,Senate
2019-04,32,2019-04-01,Combined Accounts,Senate
2019-05,32,2019-05-01,Combined Accounts,Senate
2019-06,33,2019-06-01,Combined Accounts,Senate
2019-07,34,2019-07-01,Combined Accounts,Senate
2019-08,34,2019-08-01,Combined Accounts,Senate
2019-09,35,2019-09-01,Combined Accounts,Senate
2019-10,35,2019-10-01,Combined Accounts,Senate
2019-11,34,2019-11-01,Combined Accounts,Senate
2019-12,35,2019-12-01,Combined Accounts,Senate
2020-01,36,2020-01-01,Combined Accounts,Senate
2020-02,35,2020-02-01,Combined Accounts,Senate
2020-03,36,2020-03-01,Combined Accounts,Senate
2020-04,35,2020-04-01,Combined Accounts,Senate
2020-05,35,2020-05-01,Combined Accounts,Senate
2020-06,33,2020-06-01,Combined Accounts,Senate
2020-07,32,2020-07-01,Combined Accounts,Senate
2020-08,35,2020-08-01,Combined Accounts,Senate
2020-09,36,2020-09-01,Combined Accounts,Senate
2020-10,36,2020-10-01,Combined Accounts,Senate
2020-11,36,2020-11-01,Combined Accounts,Senate
2008-12,1,2008-12-01,All Accounts,Senate
2009-01,1,2009-01-01,All Accounts,Senate
2009-02,1,2009-02-01,All Accounts,Senate
2009-03,4,2009-03-01,All Accounts,Senate
2009-04,4,2009-04-01,All Accounts,Senate
2009-05,5,2009-05-01,All Accounts,Senate
2009-06,6,2009-06-01,All Accounts,Senate
2009-07,7,2009-07-01,All Accounts,Senate
2009-08,6,2009-08-01,All Accounts,Senate
2009-09,7,2009-09-01,All Accounts,Senate
2009-10,9,2009-10-01,All Accounts,Senate
2009-11,10,2009-11-01,All Accounts,Senate
2009-12,10,2009-12-01,All Accounts,Senate
2010-01,12,2010-01-01,All Accounts,Senate
2010-02,12,2010-02-01,All Accounts,Senate
2010-03,13,2010-03-01,All Accounts,Senate
2010-04,13,2010-04-01,All Accounts,Senate
2010-05,13,2010-05-01,All Accounts,Senate
2010-06,15,2010-06-01,All Accounts,Senate
2010-07,18,2010-07-01,All Accounts,Senate
2010-08,18,2010-08-01,All Accounts,Senate
2010-09,18,2010-09-01,All Accounts,Senate
2010-10,18,2010-10-01,All Accounts,Senate
2010-11,17,2010-11-01,All Accounts,Senate
2010-12,8,2010-12-01,All Accounts,Senate
2011-01,10,2011-01-01,All Accounts,Senate
2011-02,10,2011-02-01,All Accounts,Senate
2011-03,15,2011-03-01,All Accounts,Senate
2011-04,14,2011-04-01,All Accounts,Senate
2011-05,16,2011-05-01,All Accounts,Senate
2011-06,17,2011-06-01,All Accounts,Senate
2011-07,19,2011-07-01,All Accounts,Senate
2011-08,20,2011-08-01,All Accounts,Senate
2011-09,24,2011-09-01,All Accounts,Senate
2011-10,23,2011-10-01,All Accounts,Senate
2011-11,23,2011-11-01,All Accounts,Senate
2011-12,24,2011-12-01,All Accounts,Senate
2012-01,26,2012-01-01,All Accounts,Senate
2012-02,30,2012-02-01,All Accounts,Senate
2012-03,32,2012-03-01,All Accounts,Senate
2012-04,33,2012-04-01,All Accounts,Senate
2012-05,34,2012-05-01,All Accounts,Senate
2012-06,34,2012-06-01,All Accounts,Senate
2012-07,36,2012-07-01,All Accounts,Senate
2012-08,38,2012-08-01,All Accounts,Senate
2012-09,40,2012-09-01,All Accounts,Senate
2012-10,42,2012-10-01,All Accounts,Senate
2012-11,43,2012-11-01,All Accounts,Senate
2012-12,26,2012-12-01,All Accounts,Senate
2013-01,27,2013-01-01,All Accounts,Senate
2013-02,30,2013-02-01,All Accounts,Senate
2013-03,34,2013-03-01,All Accounts,Senate
2013-04,37,2013-04-01,All Accounts,Senate
2013-05,38,2013-05-01,All Accounts,Senate
2013-06,37,2013-06-01,All Accounts,Senate
2013-07,38,2013-07-01,All Accounts,Senate
2013-08,39,2013-08-01,All Accounts,Senate
2013-09,40,2013-09-01,All Accounts,Senate
2013-10,41,2013-10-01,All Accounts,Senate
2013-11,43,2013-11-01,All Accounts,Senate
2013-12,39,2013-12-01,All Accounts,Senate
2014-01,44,2014-01-01,All Accounts,Senate
2014-02,45,2014-02-01,All Accounts,Senate
2014-03,47,2014-03-01,All Accounts,Senate
2014-04,46,2014-04-01,All Accounts,Senate
2014-05,47,2014-05-01,All Accounts,Senate
2014-06,46,2014-06-01,All Accounts,Senate
2014-07,46,2014-07-01,All Accounts,Senate
2014-08,44,2014-08-01,All Accounts,Senate
2014-09,47,2014-09-01,All Accounts,Senate
2014-10,46,2014-10-01,All Accounts,Senate
2014-11,47,2014-11-01,All Accounts,Senate
2014-12,34,2014-12-01,All Accounts,Senate
2015-01,36,2015-01-01,All Accounts,Senate
2015-02,36,2015-02-01,All Accounts,Senate
2015-03,39,2015-03-01,All Accounts,Senate
2015-04,47,2015-04-01,All Accounts,Senate
2015-05,43,2015-05-01,All Accounts,Senate
2015-06,49,2015-06-01,All Accounts,Senate
2015-07,50,2015-07-01,All Accounts,Senate
2015-08,46,2015-08-01,All Accounts,Senate
2015-09,51,2015-09-01,All Accounts,Senate
2015-10,51,2015-10-01,All Accounts,Senate
2015-11,55,2015-11-01,All Accounts,Senate
2015-12,56,2015-12-01,All Accounts,Senate
