year_month,total_accounts,date,twitter_data,office_type
2011-08,11,2011-08-01,combined,senate
2011-09,15,2011-09-01,combined,senate
2011-10,13,2011-10-01,combined,senate
2011-11,15,2011-11-01,combined,senate
2011-12,15,2011-12-01,combined,senate
2012-01,17,2012-01-01,combined,senate
2012-02,15,2012-02-01,combined,senate
2012-03,15,2012-03-01,combined,senate
2012-04,17,2012-04-01,combined,senate
2012-05,17,2012-05-01,combined,senate
2012-06,17,2012-06-01,combined,senate
2012-07,18,2012-07-01,combined,senate
2012-08,18,2012-08-01,combined,senate
2012-09,22,2012-09-01,combined,senate
2012-10,24,2012-10-01,combined,senate
2012-11,21,2012-11-01,combined,senate
2012-12,21,2012-12-01,combined,senate
2013-01,21,2013-01-01,combined,senate
2013-02,19,2013-02-01,combined,senate
2013-03,22,2013-03-01,combined,senate
2013-04,23,2013-04-01,combined,senate
2013-05,24,2013-05-01,combined,senate
2013-06,25,2013-06-01,combined,senate
2013-07,24,2013-07-01,combined,senate
2013-08,25,2013-08-01,combined,senate
2013-09,23,2013-09-01,combined,senate
2013-10,23,2013-10-01,combined,senate
2013-11,25,2013-11-01,combined,senate
2013-12,24,2013-12-01,combined,senate
2014-01,25,2014-01-01,combined,senate
2014-02,23,2014-02-01,combined,senate
2014-03,27,2014-03-01,combined,senate
2014-04,25,2014-04-01,combined,senate
2014-05,27,2014-05-01,combined,senate
2014-06,25,2014-06-01,combined,senate
2014-07,24,2014-07-01,combined,senate
2014-08,27,2014-08-01,combined,senate
2014-09,28,2014-09-01,combined,senate
2014-10,28,2014-10-01,combined,senate
2014-11,27,2014-11-01,combined,senate
2014-12,26,2014-12-01,combined,senate
2015-01,27,2015-01-01,combined,senate
2015-02,27,2015-02-01,combined,senate
2015-03,29,2015-03-01,combined,senate
2015-04,31,2015-04-01,combined,senate
2015-05,30,2015-05-01,combined,senate
2015-06,33,2015-06-01,combined,senate
2015-07,34,2015-07-01,combined,senate
2015-08,34,2015-08-01,combined,senate
2015-09,35,2015-09-01,combined,senate
2015-10,35,2015-10-01,combined,senate
2015-11,35,2015-11-01,combined,senate
2015-12,36,2015-12-01,combined,senate
2016-01,38,2016-01-01,combined,senate
2016-02,36,2016-02-01,combined,senate
2016-03,38,2016-03-01,combined,senate
2016-04,39,2016-04-01,combined,senate
2016-05,39,2016-05-01,combined,senate
2016-06,39,2016-06-01,combined,senate
2016-07,39,2016-07-01,combined,senate
2016-08,39,2016-08-01,combined,senate
2016-09,39,2016-09-01,combined,senate
2016-10,38,2016-10-01,combined,senate
2016-11,39,2016-11-01,combined,senate
2012-12,18,2012-12-01,combined,senate
2013-01,19,2013-01-01,combined,senate
2013-02,18,2013-02-01,combined,senate
2013-03,22,2013-03-01,combined,senate
2013-04,19,2013-04-01,combined,senate
2013-05,20,2013-05-01,combined,senate
2013-06,19,2013-06-01,combined,senate
2013-07,20,2013-07-01,combined,senate
2013-08,21,2013-08-01,combined,senate
2013-09,18,2013-09-01,combined,senate
2013-10,20,2013-10-01,combined,senate
2013-11,21,2013-11-01,combined,senate
2013-12,22,2013-12-01,combined,senate
2014-01,24,2014-01-01,combined,senate
2014-02,27,2014-02-01,combined,senate
2014-03,26,2014-03-01,combined,senate
2014-04,27,2014-04-01,combined,senate
2014-05,27,2014-05-01,combined,senate
2014-06,26,2014-06-01,combined,senate
2014-07,28,2014-07-01,combined,senate
2014-08,30,2014-08-01,combined,senate
2014-09,30,2014-09-01,combined,senate
2014-10,31,2014-10-01,combined,senate
2014-11,31,2014-11-01,combined,senate
2014-12,29,2014-12-01,combined,senate
2015-01,28,2015-01-01,combined,senate
2015-02,28,2015-02-01,combined,senate
2015-03,31,2015-03-01,combined,senate
2015-04,31,2015-04-01,combined,senate
2015-05,30,2015-05-01,combined,senate
2015-06,31,2015-06-01,combined,senate
2015-07,31,2015-07-01,combined,senate
2015-08,30,2015-08-01,combined,senate
2015-09,32,2015-09-01,combined,senate
2015-10,32,2015-10-01,combined,senate
2015-11,32,2015-11-01,combined,senate
2015-12,33,2015-12-01,combined,senate
2016-01,34,2016-01-01,combined,senate
2016-02,34,2016-02-01,combined,senate
2016-03,35,2016-03-01,combined,senate
2016-04,35,2016-04-01,combined,senate
2016-05,35,2016-05-01,combined,senate
2016-06,36,2016-06-01,combined,senate
2016-07,35,2016-07-01,combined,senate
2016-08,34,2016-08-01,combined,senate
2016-09,36,2016-09-01,combined,senate
2016-10,36,2016-10-01,combined,senate
2016-11,36,2016-11-01,combined,senate
2016-12,36,2016-12-01,combined,senate
2017-01,36,2017-01-01,combined,senate
2017-02,35,2017-02-01,combined,senate
2017-03,37,2017-03-01,combined,senate
2017-04,37,2017-04-01,combined,senate
2017-05,37,2017-05-01,combined,senate
2017-06,37,2017-06-01,combined,senate
2017-07,38,2017-07-01,combined,senate
2017-08,38,2017-08-01,combined,senate
2017-09,38,2017-09-01,combined,senate
2017-10,39,2017-10-01,combined,senate
2017-11,40,2017-11-01,combined,senate
2017-12,39,2017-12-01,combined,senate
2018-01,39,2018-01-01,combined,senate
2018-02,38,2018-02-01,combined,senate
2018-03,40,2018-03-01,combined,senate
2018-04,40,2018-04-01,combined,senate
2018-05,40,2018-05-01,combined,senate
2018-06,40,2018-06-01,combined,senate
2018-07,40,2018-07-01,combined,senate
2018-08,40,2018-08-01,combined,senate
2018-09,40,2018-09-01,combined,senate
2018-10,40,2018-10-01,combined,senate
2018-11,40,2018-11-01,combined,senate
2014-12,25,2014-12-01,combined,senate
2015-01,26,2015-01-01,combined,senate
2015-02,25,2015-02-01,combined,senate
2015-03,27,2015-03-01,combined,senate
2015-04,27,2015-04-01,combined,senate
2015-05,27,2015-05-01,combined,senate
2015-06,28,2015-06-01,combined,senate
2015-07,27,2015-07-01,combined,senate
2015-08,28,2015-08-01,combined,senate
2015-09,26,2015-09-01,combined,senate
2015-10,28,2015-10-01,combined,senate
2015-11,28,2015-11-01,combined,senate
