year_month,total_accounts,date,twitter_data,office_type
2021-05,109,2021-05-01,combined,senate
2021-06,111,2021-06-01,combined,senate
2021-07,118,2021-07-01,combined,senate
2021-08,114,2021-08-01,combined,senate
2021-09,116,2021-09-01,combined,senate
2021-10,114,2021-10-01,combined,senate
2021-11,114,2021-11-01,combined,senate
2021-12,120,2021-12-01,combined,senate
2022-01,117,2022-01-01,combined,senate
2022-02,113,2022-02-01,combined,senate
2022-03,120,2022-03-01,combined,senate
2022-04,121,2022-04-01,combined,senate
2022-05,118,2022-05-01,combined,senate
2022-06,118,2022-06-01,combined,senate
2022-07,119,2022-07-01,combined,senate
2022-08,119,2022-08-01,combined,senate
2022-09,118,2022-09-01,combined,senate
2022-10,119,2022-10-01,combined,senate
2022-11,119,2022-11-01,combined,senate
2022-12,116,2022-12-01,combined,senate
2023-01,114,2023-01-01,combined,senate
2023-02,104,2023-02-01,combined,senate
2023-03,111,2023-03-01,combined,senate
2008-03,1,2008-03-01,all,senate
2008-04,1,2008-04-01,all,senate
2008-05,1,2008-05-01,all,senate
2008-06,1,2008-06-01,all,senate
2008-07,1,2008-07-01,all,senate
2008-08,2,2008-08-01,all,senate
2008-09,3,2008-09-01,all,senate
2008-10,3,2008-10-01,all,senate
2008-11,3,2008-11-01,all,senate
2008-12,3,2008-12-01,all,senate
2009-01,4,2009-01-01,all,senate
2009-02,7,2009-02-01,all,senate
2009-03,10,2009-03-01,all,senate
2009-04,10,2009-04-01,all,senate
2009-05,10,2009-05-01,all,senate
2009-06,13,2009-06-01,all,senate
2009-07,15,2009-07-01,all,senate
2009-08,13,2009-08-01,all,senate
2009-09,16,2009-09-01,all,senate
2009-10,18,2009-10-01,all,senate
2009-11,21,2009-11-01,all,senate
2009-12,20,2009-12-01,all,senate
2010-01,23,2010-01-01,all,senate
2010-02,25,2010-02-01,all,senate
2010-03,27,2010-03-01,all,senate
2010-04,29,2010-04-01,all,senate
2010-05,29,2010-05-01,all,senate
2010-06,31,2010-06-01,all,senate
2010-07,34,2010-07-01,all,senate
2010-08,34,2010-08-01,all,senate
2010-09,34,2010-09-01,all,senate
2010-10,36,2010-10-01,all,senate
2010-11,35,2010-11-01,all,senate
2010-12,26,2010-12-01,all,senate
2011-01,31,2011-01-01,all,senate
2011-02,32,2011-02-01,all,senate
2011-03,37,2011-03-01,all,senate
2011-04,38,2011-04-01,all,senate
2011-05,42,2011-05-01,all,senate
2011-06,41,2011-06-01,all,senate
2011-07,45,2011-07-01,all,senate
2011-08,40,2011-08-01,all,senate
2011-09,51,2011-09-01,all,senate
2011-10,47,2011-10-01,all,senate
2011-11,53,2011-11-01,all,senate
2011-12,53,2011-12-01,all,senate
2012-01,57,2012-01-01,all,senate
2012-02,60,2012-02-01,all,senate
2012-03,63,2012-03-01,all,senate
2012-04,67,2012-04-01,all,senate
2012-05,70,2012-05-01,all,senate
2012-06,69,2012-06-01,all,senate
2012-07,73,2012-07-01,all,senate
2012-08,77,2012-08-01,all,senate
2012-09,82,2012-09-01,all,senate
2012-10,89,2012-10-01,all,senate
2012-11,88,2012-11-01,all,senate
2012-12,76,2012-12-01,all,senate
2013-01,82,2013-01-01,all,senate
2013-02,92,2013-02-01,all,senate
2013-03,98,2013-03-01,all,senate
2013-04,98,2013-04-01,all,senate
2013-05,103,2013-05-01,all,senate
2013-06,102,2013-06-01,all,senate
2013-07,102,2013-07-01,all,senate
2013-08,104,2013-08-01,all,senate
2013-09,103,2013-09-01,all,senate
2013-10,108,2013-10-01,all,senate
2013-11,114,2013-11-01,all,senate
2013-12,107,2013-12-01,all,senate
2014-01,117,2014-01-01,all,senate
2014-02,119,2014-02-01,all,senate
2014-03,125,2014-03-01,all,senate
2014-04,117,2014-04-01,all,senate
2014-05,121,2014-05-01,all,senate
2014-06,123,2014-06-01,all,senate
2014-07,123,2014-07-01,all,senate
2014-08,126,2014-08-01,all,senate
2014-09,131,2014-09-01,all,senate
2014-10,134,2014-10-01,all,senate
2014-11,130,2014-11-01,all,senate
2014-12,119,2014-12-01,all,senate
2015-01,130,2015-01-01,all,senate
2015-02,124,2015-02-01,all,senate
2015-03,133,2015-03-01,all,senate
2015-04,142,2015-04-01,all,senate
2015-05,139,2015-05-01,all,senate
2015-06,147,2015-06-01,all,senate
2015-07,153,2015-07-01,all,senate
2015-08,146,2015-08-01,all,senate
2015-09,152,2015-09-01,all,senate
2015-10,155,2015-10-01,all,senate
2015-11,165,2015-11-01,all,senate
2015-12,158,2015-12-01,all,senate
2016-01,164,2016-01-01,all,senate
2016-02,172,2016-02-01,all,senate
2016-03,168,2016-03-01,all,senate
2016-04,166,2016-04-01,all,senate
2016-05,172,2016-05-01,all,senate
2016-06,175,2016-06-01,all,senate
2016-07,177,2016-07-01,all,senate
2016-08,173,2016-08-01,all,senate
2016-09,176,2016-09-01,all,senate
2016-10,178,2016-10-01,all,senate
2016-11,181,2016-11-01,all,senate
2016-12,155,2016-12-01,all,senate
2017-01,160,2017-01-01,all,senate
2017-02,158,2017-02-01,all,senate
2017-03,153,2017-03-01,all,senate
2017-04,157,2017-04-01,all,senate
2017-05,157,2017-05-01,all,senate
2017-06,157,2017-06-01,all,senate
2017-07,160,2017-07-01,all,senate
2017-08,163,2017-08-01,all,senate
2017-09,165,2017-09-01,all,senate
2017-10,170,2017-10-01,all,senate
2017-11,174,2017-11-01,all,senate
2017-12,171,2017-12-01,all,senate
2018-01,175,2018-01-01,all,senate
2018-02,174,2018-02-01,all,senate
2018-03,175,2018-03-01,all,senate
2018-04,179,2018-04-01,all,senate
2018-05,186,2018-05-01,all,senate
2018-06,179,2018-06-01,all,senate
2018-07,185,2018-07-01,all,senate
2018-08,189,2018-08-01,all,senate
2018-09,188,2018-09-01,all,senate
2018-10,189,2018-10-01,all,senate
2018-11,193,2018-11-01,all,senate
2018-12,178,2018-12-01,all,senate
2019-01,169,2019-01-01,all,senate
2019-02,170,2019-02-01,all,senate
2019-03,173,2019-03-01,all,senate
2019-04,177,2019-04-01,all,senate
2019-05,176,2019-05-01,all,senate
2019-06,178,2019-06-01,all,senate
2019-07,181,2019-07-01,all,senate
2019-08,180,2019-08-01,all,senate
2019-09,182,2019-09-01,all,senate
2019-10,183,2019-10-01,all,senate
2019-11,181,2019-11-01,all,senate
2019-12,179,2019-12-01,all,senate
2020-01,184,2020-01-01,all,senate
2020-02,188,2020-02-01,all,senate
2020-03,189,2020-03-01,all,senate
2020-04,186,2020-04-01,all,senate
2020-05,190,2020-05-01,all,senate
2020-06,143,2020-06-01,all,senate
2020-07,147,2020-07-01,all,senate
2020-08,162,2020-08-01,all,senate
2020-09,158,2020-09-01,all,senate
2020-10,165,2020-10-01,all,senate
2020-11,168,2020-11-01,all,senate
2020-12,154,2020-12-01,all,senate
2021-01,158,2021-01-01,all,senate
2021-02,157,2021-02-01,all,senate
2021-03,161,2021-03-01,all,senate
2021-04,155,2021-04-01,all,senate
2021-05,164,2021-05-01,all,senate
2021-06,168,2021-06-01,all,senate
2021-07,177,2021-07-01,all,senate
2021-08,167,2021-08-01,all,senate
2021-09,175,2021-09-01,all,senate
2021-10,173,2021-10-01,all,senate
2021-11,177,2021-11-01,all,senate
2021-12,179,2021-12-01,all,senate
2022-01,180,2022-01-01,all,senate
2022-02,183,2022-02-01,all,senate
2022-03,188,2022-03-01,all,senate
2022-04,185,2022-04-01,all,senate
2022-05,190,2022-05-01,all,senate
2022-06,192,2022-06-01,all,senate
2022-07,186,2022-07-01,all,senate
2022-08,195,2022-08-01,all,senate
2022-09,189,2022-09-01,all,senate
2022-10,193,2022-10-01,all,senate
2022-11,196,2022-11-01,all,senate
2022-12,180,2022-12-01,all,senate
2023-01,174,2023-01-01,all,senate
2023-02,170,2023-02-01,all,senate
2023-03,170,2023-03-01,all,senate
2008-01,1,2008-01-01,combined,house
2008-02,1,2008-02-01,combined,house
2008-03,1,2008-03-01,combined,house
2008-04,2,2008-04-01,combined,house
2008-05,1,2008-05-01,combined,house
2008-06,2,2008-06-01,combined,house
2008-07,2,2008-07-01,combined,house
2008-08,4,2008-08-01,combined,house
2008-09,3,2008-09-01,combined,house
2008-10,3,2008-10-01,combined,house
2008-11,3,2008-11-01,combined,house
2008-12,6,2008-12-01,combined,house
2009-01,15,2009-01-01,combined,house
2009-02,23,2009-02-01,combined,house
2009-03,37,2009-03-01,combined,house
2009-04,47,2009-04-01,combined,house
2009-05,48,2009-05-01,combined,house
2009-06,59,2009-06-01,combined,house
2009-07,58,2009-07-01,combined,house
2009-08,57,2009-08-01,combined,house
2009-09,70,2009-09-01,combined,house
2009-10,70,2009-10-01,combined,house
2009-11,73,2009-11-01,combined,house
2009-12,76,2009-12-01,combined,house
2010-01,78,2010-01-01,combined,house
2010-02,84,2010-02-01,combined,house
2010-03,91,2010-03-01,combined,house
2010-04,101,2010-04-01,combined,house
2010-05,105,2010-05-01,combined,house
2010-06,113,2010-06-01,combined,house
2010-07,113,2010-07-01,combined,house
2010-08,117,2010-08-01,combined,house
2010-09,114,2010-09-01,combined,house
2010-10,119,2010-10-01,combined,house
2010-11,120,2010-11-01,combined,house
2010-12,103,2010-12-01,combined,house
2011-01,119,2011-01-01,combined,house
2011-02,117,2011-02-01,combined,house
2011-03,130,2011-03-01,combined,house
2011-04,135,2011-04-01,combined,house
2011-05,145,2011-05-01,combined,house
2011-06,148,2011-06-01,combined,house
2011-07,145,2011-07-01,combined,house
2011-08,149,2011-08-01,combined,house
2011-09,157,2011-09-01,combined,house
2011-10,167,2011-10-01,combined,house
2011-11,182,2011-11-01,combined,house
2011-12,178,2011-12-01,combined,house
2012-01,191,2012-01-01,combined,house
2012-02,189,2012-02-01,combined,house
2012-03,200,2012-03-01,combined,house
2012-04,205,2012-04-01,combined,house
2012-05,216,2012-05-01,combined,house
2012-06,226,2012-06-01,combined,house
2012-07,227,2012-07-01,combined,house
2012-08,232,2012-08-01,combined,house
2012-09,235,2012-09-01,combined,house
2012-10,236,2012-10-01,combined,house
2012-11,242,2012-11-01,combined,house
2012-12,217,2012-12-01,combined,house
2013-01,246,2013-01-01,combined,house
2013-02,246,2013-02-01,combined,house
2013-03,266,2013-03-01,combined,house
2013-04,268,2013-04-01,combined,house
2013-05,276,2013-05-01,combined,house
2013-06,287,2013-06-01,combined,house
2013-07,299,2013-07-01,combined,house
2013-08,295,2013-08-01,combined,house
2013-09,311,2013-09-01,combined,house
2013-10,310,2013-10-01,combined,house
2013-11,321,2013-11-01,combined,house
2013-12,314,2013-12-01,combined,house
2014-01,324,2014-01-01,combined,house
2014-02,321,2014-02-01,combined,house
2014-03,334,2014-03-01,combined,house
2014-04,337,2014-04-01,combined,house
2014-05,341,2014-05-01,combined,house
2014-06,338,2014-06-01,combined,house
2014-07,343,2014-07-01,combined,house
2014-08,333,2014-08-01,combined,house
2014-09,347,2014-09-01,combined,house
2014-10,348,2014-10-01,combined,house
2014-11,347,2014-11-01,combined,house
2014-12,335,2014-12-01,combined,house
2015-01,362,2015-01-01,combined,house
2015-02,354,2015-02-01,combined,house
2015-03,374,2015-03-01,combined,house
2015-04,371,2015-04-01,combined,house
2015-05,373,2015-05-01,combined,house
2015-06,378,2015-06-01,combined,house
2015-07,375,2015-07-01,combined,house
2015-08,381,2015-08-01,combined,house
2015-09,383,2015-09-01,combined,house
2015-10,387,2015-10-01,combined,house
2015-11,389,2015-11-01,combined,house
2015-12,395,2015-12-01,combined,house
2016-01,404,2016-01-01,combined,house
2016-02,398,2016-02-01,combined,house
2016-03,409,2016-03-01,combined,house
2016-04,407,2016-04-01,combined,house
2016-05,406,2016-05-01,combined,house
2016-06,409,2016-06-01,combined,house
