first_tweet,data_gaps,screen_name,beginning_uninterupted
2013-09-08,TRUE,Ricketts4Senate,2023-01-01
2015-03-21,FALSE,RoyCooperNC,2015-03-21
2016-09-27,TRUE,SarahHuckabee,2018-10-01
2013-01-09,TRUE,SDGovDaugaard,2022-10-01
2018-06-22,FALSE,SethMagaziner,2018-06-22
2022-05-27,FALSE,SpencerJCox,2022-05-27
2020-10-12,FALSE,staceyabrams,2020-10-12
2021-08-31,TRUE,SteveSisolak,2023-02-01
2019-04-09,FALSE,tatereeves,2019-04-09
2013-07-10,TRUE,teamdavidige,2016-01-01
2012-01-10,FALSE,TerryBranstad,2012-01-10
2018-01-16,TRUE,TG4AG,2020-08-01
2015-11-07,TRUE,Tim_Walz,2023-01-01
2021-09-01,FALSE,Tina4Oregon,2021-09-01
2017-08-06,FALSE,TishJames,2017-08-06
2013-08-28,TRUE,TomWolfPA,2019-03-01
2019-01-09,TRUE,Tony4WI,2023-02-01
2019-01-09,FALSE,VAGovernor73,2019-01-09
2021-08-30,FALSE,VickyForGov,2021-08-30
2020-07-21,FALSE,WVGovernor,2020-07-21
